FileName,Language,MissingVersesOrChoruses
1041_1041.xml,tel,"v1,v2"
1041_1041.xml,hin,"v1,v2"
1042_1042.xml,eng,"v1,v2"
1042_1042.xml,tel,"v1,v2"
1042_1042.xml,hin,"v1,v2"
1043_1043.xml,eng,"v1,v2"
1043_1043.xml,tel,"v1,v2"
1043_1043.xml,hin,"v1,v2"
1044_1044.xml,eng,"v1,v2"
1044_1044.xml,tel,"v1,v2"
1044_1044.xml,hin,"v1,v2"
1045_1045.xml,eng,"v1,v2,v3"
1045_1045.xml,tel,"v1,v2,v3"
1045_1045.xml,hin,"v1,v2,v3"
1046_1046.xml,eng,"v1,v2"
1046_1046.xml,tel,"v1,v2"
1046_1046.xml,hin,"v1,v2"
1047_1047.xml,eng,"v1,v2"
1047_1047.xml,tel,"v1,v2"
1047_1047.xml,hin,"v1,v2"
1048_1048.xml,eng,"v1,v2"
1048_1048.xml,tel,"v1,v2"
1048_1048.xml,hin,"v1,v2"
1049_1049.xml,eng,"v1,v2"
1049_1049.xml,tel,"v1,v2"
1049_1049.xml,hin,"v1,v2"
104_Naa praana priyudaa.xml,eng,"v7,v8"
104_Naa praana priyudaa.xml,tel,"v7,v8"
104_Naa praana priyudaa.xml,hin,"v5,v6,v7,v8"
1050_1050.xml,eng,"v1,v2"
1050_1050.xml,tel,"v1,v2"
1050_1050.xml,hin,"v1,v2"
1051_1051.xml,eng,"v1,v2"
1051_1051.xml,tel,"v1,v2"
1051_1051.xml,hin,"v1,v2"
1052_1052.xml,eng,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1052_1052.xml,tel,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1052_1052.xml,hin,"c1,v1,v2,v3,v4,v5,v6,v7,v8"
1053_1053.xml,eng,"v1,v2"
1053_1053.xml,tel,"v1,v2"
1053_1053.xml,hin,"v1,v2"
1054_1054.xml,eng,"v1,v2"
1054_1054.xml,tel,"v1,v2"
1054_1054.xml,hin,"v1,v2"
1055_1055.xml,eng,"v1,v2,v3"
1055_1055.xml,tel,"v1,v2,v3"
1055_1055.xml,hin,"v1,v2,v3"
1056_1056.xml,eng,"v1,v2"
1056_1056.xml,tel,"v1,v2"
1056_1056.xml,hin,"v1,v2"
1057_1057.xml,eng,"v1,v2"
1057_1057.xml,tel,"v1,v2"
1057_1057.xml,hin,"v1,v2"
1058_1058.xml,eng,"v1,v2,v3"
1058_1058.xml,tel,"v1,v2,v3"
1058_1058.xml,hin,"v1,v2,v3"
1059_1059.xml,eng,"v1,v2"
1059_1059.xml,tel,"v1,v2"
1059_1059.xml,hin,"v1,v2"
105_Deva devuni koniyaadedamu.xml,eng,v8
105_Deva devuni koniyaadedamu.xml,tel,v8
105_Deva devuni koniyaadedamu.xml,hin,"c2,v7,v8"
1060_1060.xml,eng,"v1,v2"
1060_1060.xml,tel,"v1,v2"
1060_1060.xml,hin,"v1,v2"
1061_1061.xml,eng,"v1,v2"
1061_1061.xml,tel,"v1,v2"
1061_1061.xml,hin,"v1,v2"
1062_1062.xml,eng,"v1,v2"
1062_1062.xml,tel,"v1,v2"
